iso3c	year	gini_disp	gini_source
AUT	1994	27.4	swiid
AUT	1995	28	swiid
AUT	1996	27.5	swiid
AUT	1999	26.6	swiid
AUT	2002	26.8	swiid
AUT	2004	26.9	swiid
AUT	2006	27.4	swiid
AUT	2008	28.2	swiid
AUT	2009	28.4	swiid
AUT	2013	28.1	swiid
AUT	2014	28.1	swiid
AUT	2017	28.3	swiid
AUT	2019	28.7	swiid-imputed
BEL	1978	23.7	swiid-imputed
BEL	1979	23.6	swiid
BEL	1981	23.7	swiid
BEL	1984	23.4	swiid
BEL	1985	23.2	swiid
BEL	1987	23.4	swiid
BEL	1989	23.5	swiid
BEL	1991	23.5	swiid
BEL	1994	25	swiid
BEL	1995	25.5	swiid
BEL	1999	26.6	swiid
BEL	2003	26.5	swiid
BEL	2004	26.5	swiid
BEL	2007	25.9	swiid
BEL	2009	25.7	swiid
BEL	2010	25.7	swiid
BEL	2014	25.6	swiid
BEL	2019	25.7	swiid-imputed
BGR	2005	32.5	swiid
BGR	2007	32.6	swiid
BGR	2009	32.8	swiid
BGR	2013	34.1	swiid
BGR	2014	34.4	swiid
BGR	2017	35.1	swiid
BGR	2019	35.5	swiid-imputed
CYP	2001	29.6	swiid
CYP	2004	29.4	swiid
CYP	2006	29.5	swiid
CYP	2009	29.7	swiid
CYP	2011	30	swiid
CYP	2014	30.3	swiid
CYP	2016	30.4	swiid
CYP	2019	30.5	swiid-imputed
CZE	2002	25.3	swiid
CZE	2004	25.7	swiid
CZE	2006	25.5	swiid
CZE	2009	25.1	swiid
CZE	2010	25.3	swiid
CZE	2013	25.3	swiid
CZE	2014	25.2	swiid
CZE	2017	25.1	swiid-imputed
CZE	2019	25	swiid-imputed
DEU	1976	26.8	swiid
DEU	1979	26.1	swiid
DEU	1980	25.9	swiid
DEU	1983	25.9	swiid
DEU	1984	25.5	swiid
DEU	1987	24.9	swiid
DEU	1989	25.3	swiid
DEU	1990	25.4	swiid
DEU	1994	26	swiid
DEU	1998	25.8	swiid
DEU	1999	25.9	swiid
DEU	2002	27.1	swiid
DEU	2004	27.6	swiid
DEU	2005	28.3	swiid
DEU	2009	28.6	swiid
DEU	2013	29	swiid
DEU	2014	29.1	swiid
DEU	2017	29.3	swiid-imputed
DEU	2019	29.4	swiid-imputed
DNK	1977	24.3	swiid
DNK	1979	23.9	swiid
DNK	1981	23.5	swiid
DNK	1984	22.8	swiid
DNK	1987	24.2	swiid
DNK	1988	23.1	swiid
DNK	1989	22.6	swiid
DNK	1990	22.7	swiid
DNK	1994	22.2	swiid
DNK	1998	22.5	swiid
DNK	1999	22.7	swiid
DNK	2001	22.9	swiid
DNK	2004	23.2	swiid
DNK	2005	23.8	swiid
DNK	2007	24.3	swiid
DNK	2009	25	swiid
DNK	2011	25.4	swiid
DNK	2014	25.9	swiid
DNK	2015	26.4	swiid
DNK	2019	27.9	swiid-imputed
ESP	1982	31.6	swiid
ESP	1986	30.5	swiid
ESP	1987	29.9	swiid
ESP	1989	29.3	swiid
ESP	1993	31.1	swiid
ESP	1994	31.9	swiid
ESP	1996	32.2	swiid
ESP	1999	31	swiid
ESP	2000	31	swiid
ESP	2004	31.4	swiid
ESP	2008	32.5	swiid
ESP	2009	33.1	swiid
ESP	2011	33.9	swiid
ESP	2014	34.1	swiid
ESP	2015	34.2	swiid
ESP	2016	34.2	swiid
ESP	2019	34.5	swiid-imputed
EST	2003	35	swiid
EST	2004	34.5	swiid
EST	2007	32.4	swiid
EST	2009	32	swiid
EST	2011	32.7	swiid
EST	2014	33.4	swiid
