iso3c	year	pop	log_pop	ms_small	ms_small1	ms_small2
AUT	1994	7936118	2.0714242388236426	0	0	0
AUT	1995	7948278	2.07295530143067	0	0	0
AUT	1996	7959017	2.0743054997681583	0	0	0
AUT	1999	7992324	2.078481581065047	0	0	0
AUT	2002	8081957	2.0896340461768967	0	0	0
AUT	2004	8171966	2.1007095163985072	0	0	0
AUT	2006	8268641	2.1124701666324897	0	0	0
AUT	2008	8321496	2.1188420463619595	0	0	0
AUT	2009	8343323	2.1214615782610227	0	0	0
AUT	2013	8479823	2.1376895769444655	0	0	0
AUT	2014	8546356	2.145504993269724	0	0	0
AUT	2017	8797566	2.1744750923167495	0	0	0
AUT	2019	NA	NA	0	0	0
BEL	1978	9839534	2.2864083522191723	0	0	0
BEL	1979	9848382	2.287307177731805	0	0	0
BEL	1981	9858982	2.2883829178482618	0	0	0
BEL	1984	9855372	2.288016687228648	0	0	0
BEL	1985	9858308	2.2883145514550844	0	0	0
BEL	1987	9870234	2.289523561371042	0	0	0
BEL	1989	9937697	2.2963353036833305	0	0	0
BEL	1991	10004486	2.303033592403148	0	0	0
BEL	1994	10115603	2.314079083276848	0	0	0
BEL	1995	10136811	2.3161734516570514	0	0	0
BEL	1999	10226419	2.3249744698062704	0	0	0
BEL	2003	10376133	2.339508264973627	0	0	0
BEL	2004	10421137	2.3438361474549185	0	0	0
BEL	2007	10625700	2.363275594993275	0	0	0
BEL	2009	10796493	2.379221359174275	0	0	0
BEL	2010	10895586	2.388357753090592	0	0	0
BEL	2014	11209057	2.416722112225422	0	0	0
BEL	2019	NA	NA	0	0	0
BGR	2005	7658972	2.035877771091031	0	0	0
BGR	2007	7545338	2.0209298890958074	0	0	0
BGR	2009	7444443	2.007467848024877	0	0	0
BGR	2013	7265115	1.983084126215615	0	0	0
BGR	2014	7223938	1.977400233575086	0	0	0
BGR	2017	7075947	1.9567012861620825	0	0	0
BGR	2019	NA	NA	0	0	0
CYP	2001	960276	-0.040534535840460593	1	1	1
CYP	2004	1010408	0.010354209679173512	1	1	1
CYP	2006	1045507	0.04450193522520861	1	1	1
CYP	2009	1098083	0.09356593221583671	1	1	1
CYP	2011	1124833	0.11763458019297196	1	1	1
CYP	2014	1152285	0.14174692750972998	1	1	1
CYP	2016	1170187	0.1571635650981905	1	1	1
CYP	2019	NA	NA	1	1	1
CZE	2002	10196916	2.322085321631183	0	0	0
CZE	2004	10197101	2.3221034642070184	0	0	0
CZE	2006	10238905	2.3261946802998072	0	0	0
CZE	2009	10443936	2.34602152289777	0	0	0
CZE	2010	10474410	2.3489351396395737	0	0	0
CZE	2013	10514272	2.3527335723308407	0	0	0
CZE	2014	10525347	2.353786348146116	0	0	0
CZE	2017	10594438	2.360329146424759	0	0	0
CZE	2019	NA	NA	0	0	0
DEU	1976	78336950	4.361019394623003	0	0	0
DEU	1979	78126350	4.358327387907268	0	0	0
DEU	1980	78288576	4.36040169196912	0	0	0
DEU	1983	78128282	4.358352116774187	0	0	0
DEU	1984	77858685	4.354895452751218	0	0	0
DEU	1987	77839920	4.354654410127992	0	0	0
DEU	1989	78751283	4.36629456963652	0	0	0
DEU	1990	79433029	4.37491426412417	0	0	0
DEU	1994	81438348	4.399846267724174	0	0	0
DEU	1998	82047195	4.407294630480066	0	0	0
DEU	1999	82100243	4.407940976259118	0	0	0
DEU	2002	82488495	4.412658829070492	0	0	0
DEU	2004	82516260	4.4129953648298645	0	0	0
DEU	2005	82469422	4.412427582211512	0	0	0
DEU	2009	81902307	4.405527158960467	0	0	0
DEU	2013	80645605	4.39006430835601	0	0	0
DEU	2014	80982500	4.394233081947693	0	0	0
DEU	2017	82657002	4.414699539371893	0	0	0
DEU	2019	NA	NA	0	0	0
DNK	1977	5088419	1.626967173276125	0	0	0
DNK	1979	5116801	1.6325294390921254	0	0	0
DNK	1981	5121572	1.6334614231769677	0	0	0
DNK	1984	5111619	1.6315161837812648	0	0	0
DNK	1987	5127024	1.6345253738906655	0	0	0
DNK	1988	5129516	1.6350113077531645	0	0	0
DNK	1989	5132594	1.6356111844047112	0	0	0
DNK	1990	5140939	1.637235747607136	0	0	0
DNK	1994	5206180	1.6498463814644746	0	0	0
DNK	1998	5304219	1.6685025416239299	0	0	0
DNK	1999	5321799	1.6718114040857952	0	0	0
DNK	2001	5358783	1.6787368970636427	0	0	0
DNK	2004	5404523	1.687236195577897	0	0	0
DNK	2005	5419432	1.68999101291199	0	0	0
DNK	2007	5461438	1.6977121250444032	0	0	0
DNK	2009	5523095	1.708938391567787	0	0	0
