iso3c	year	stf_dem_n	stf_dem_p
AUT	1996	0	NA
AUT	1999	1	0.6412622206311103
AUT	2004	8	0.6433130276815651
AUT	2009	4	0.7366084587487922
AUT	2014	7	0.729627924331678
AUT	2019	10	0.6860759999753154
BEL	1979	6	0.500636247526874
BEL	1984	8	0.43242799118640174
BEL	1989	10	0.5158847307864668
BEL	1994	10	0.561882296054774
BEL	1999	2	0.5380014357497483
BEL	2004	8	0.6190634093963282
BEL	2009	4	0.6744108333181543
BEL	2014	7	0.6297077979348887
BEL	2019	10	0.6799409626383834
BGR	2007	3	0.21313929751209798
BGR	2009	1	0.26127049180327866
BGR	2014	7	0.206866194574415
BGR	2019	10	0.30332132105541215
CYP	2004	0	NA
CYP	2009	4	0.6377933765721823
CYP	2014	7	0.42081143834782264
CYP	2019	10	0.34317870440522613
CZE	2004	0	NA
CZE	2009	4	0.5034048262585449
CZE	2014	7	0.35956430247472604
CZE	2019	10	0.541043943545231
DEU	1979	6	0.7774624264070301
DEU	1984	8	0.7155499355550656
DEU	1989	10	0.7371547026852652
DEU	1994	9	0.6116384984045481
DEU	1999	2	0.632469562497575
DEU	2004	8	0.5792363672024524
DEU	2009	4	0.585246354473093
DEU	2014	7	0.6868977347391689
DEU	2019	10	0.697780051594315
DNK	1979	6	0.6342260075160919
DNK	1984	8	0.6632570567954028
DNK	1989	10	0.69443499907535855
DNK	1994	10	0.7543546699546699
DNK	1999	2	0.8174813056955175
DNK	2004	8	0.8428310425750251
DNK	2009	4	0.9250448188785947
DNK	2014	7	0.8918546873328491
DNK	2019	10	0.8918921156488138
ESP	1987	4	0.5200557130585511
ESP	1989	4	0.5105262392418439
ESP	1994	10	0.49921839281291336
ESP	1999	2	0.528068835499623
ESP	2004	8	0.6780803031267387
ESP	2009	4	0.7219913436582361
ESP	2014	7	0.38911054548987134
ESP	2019	10	0.35318984403381815
EST	2004	0	NA
EST	2009	4	0.4593821043060282
EST	2014	7	0.41967296430340695
EST	2019	10	0.5340263228170401
FIN	1996	3	0.52
FIN	1999	1	0.6717047151141453
FIN	2004	8	0.6825661115105275
FIN	2009	4	0.7869100344538529
FIN	2014	7	0.748275007527737
FIN	2019	10	0.7846943651504047
FRA	1979	6	0.4409884525884109
FRA	1984	8	0.42886043168888516
FRA	1989	10	0.4663000529765322
FRA	1994	10	0.472345056636617
FRA	1999	2	0.5855408782854756
FRA	2004	8	0.5914790954587251
FRA	2009	4	0.5500913477458775
FRA	2014	7	0.5546448777070899
FRA	2019	10	0.5061351810166267
GBR	1979	4	0.5502929453260743
GBR	1984	5	0.5826877819500899
GBR	1989	9	0.537082035096745
GBR	1994	7	0.5254260854007008
GBR	1999	1	0.5107692307692308
GBR	2004	8	0.6054076922906979
GBR	2009	4	0.61213011741129
GBR	2014	7	0.5863424929633001
GBR	2019	10	0.6207390711194631
GRC	1981	2	0.5205
GRC	1984	5	0.5969994411994411
GRC	1989	10	0.5473502513502514
GRC	1994	10	0.3713847156831205
GRC	1999	2	0.46748786154248456
GRC	2004	8	0.5266313176698738
GRC	2009	4	0.5970816683316684
GRC	2014	7	0.22268241184066676
GRC	2019	10	0.22441920195073656
HRV	2013	6	0.229328405661739
HRV	2014	2	0.19140909090909092
HRV	2019	10	0.3129439398570744
HUN	2004	0	NA
HUN	2009	4	0.33583194066193994
HUN	2014	7	0.30434857027453
HUN	2019	10	0.4239308619061348
IRL	1979	6	0.6182740889895095
IRL	1984	8	0.5008412899983036
IRL	1989	10	0.49596332222736506
IRL	1994	10	0.6175117103617104
IRL	1999	2	0.715323616746181
IRL	2004	8	0.6914820889532088
IRL	2009	4	0.7294046532599685
IRL	2014	7	0.5319123108862669
IRL	2019	10	0.6927533129882598
ITA	1979	6	0.17373464580958475
ITA	1984	8	0.20215506172682035
ITA	1989	10	0.2824149391176131
ITA	1994	10	0.20833685994561837
ITA	1999	2	0.2978527771271271
ITA	2004	8	0.3449818172507335
ITA	2009	4	0.4564040014833707
ITA	2014	7	0.336118770585545
ITA	2019	10	0.3522381101125238
LTU	2004	0	NA
LTU	2009	4	0.2614405816246782
LTU	2014	7	0.20477171001840622
LTU	2019	10	0.3456221122106905
LUX	1979	6	0.6384502740011889
LUX	1984	8	0.6676248670252416
LUX	1989	10	0.7070122010749957
LUX	1994	10	0.7286270833333334
LUX	1999	2	0.8206411042087141
LUX	2004	8	0.7510998050844173
LUX	2009	4	0.8019644082912956
LUX	2014	7	0.8402415758570525
LUX	2019	10	0.8228039222159718
LVA	2004	0	NA
LVA	2009	4	0.430566814131776
LVA	2014	7	0.3677700114620074
LVA	2019	10	0.5108114390999395
MLT	2004	0	NA
MLT	2009	4	0.49125948103792416
MLT	2014	7	0.5511228170626968
MLT	2019	10	0.6599777577168643
NLD	1979	6	0.6427811242205677
NLD	1984	8	0.5567897081083634
NLD	1989	10	0.6096628620401133
NLD	1994	10	0.6895644973331541
NLD	1999	2	0.7119350135974796
NLD	2004	8	0.694861220970008
NLD	2009	4	0.7429051935831186
NLD	2014	7	0.7416267765711541
NLD	2019	10	0.7839015732685193
POL	2004	0	NA
POL	2009	4	0.36269194194194193
POL	2014	7	0.5070740687883545
POL	2019	10	0.5762928132212627
PRT	1987	4	0.502
PRT	1989	4	0.5638926426426426
PRT	1994	10	0.6382052554052554
PRT	1999	2	0.522032155490322
PRT	2004	8	0.4049642187974381
PRT	2009	4	0.36808437602407124
PRT	2014	7	0.2470480660194811
PRT	2019	10	0.49340728867920264
ROU	2007	4	0.3013703492173458
ROU	2009	0	NA
ROU	2014	7	0.18033622541316233
ROU	2019	10	0.3161879756293525
SVK	2004	0	NA
SVK	2009	4	0.27768897757116584
SVK	2014	7	0.32584222376158045
SVK	2019	10	0.36364107922923783
SVN	2004	0	NA
SVN	2009	4	0.5353438818035763
SVN	2014	7	0.2831802410698876
SVN	2019	10	0.3215019022079006
SWE	1995	0	NA
SWE	1999	1	0.646254489120062
SWE	2004	8	0.7042015925843419
SWE	2009	4	0.7528031365989853
SWE	2014	7	0.8401184542753233
SWE	2019	10	0.8119211818811388
