iso3c	election_of	date	date_start	other_vote1	other_vote2
AUT	President	1992-04-26			
AUT	President	1992-05-24			
AUT	Referendum	1994-06-12			
AUT	Austrian National Council	1994-10-09			
AUT	Austrian National Council	1995-12-17			
AUT	EP	1996-10-13			
AUT	President	1998-04-19			
AUT	EP	1999-06-13			
AUT	Austrian National Council	1999-10-03			
AUT	Austrian National Council	2002-11-24			
AUT	President	2004-04-25			
AUT	EP	2004-06-13			
AUT	Austrian National Council	2006-10-01			
AUT	Austrian National Council	2008-09-28			
AUT	EP	2009-06-07			
AUT	President	2010-04-25			
AUT	Referendum	2013-01-20			
AUT	Austrian National Council	2013-09-29			
AUT	EP	2014-05-25			
AUT	President	2016-04-24			
AUT	President	2016-05-22			
AUT	President	2016-12-04			
AUT	Austrian National Council	2017-10-15			
AUT	EP	2019-05-26			
BEL	Belgian Chamber of Representatives	1977-04-17			
BEL	Belgian Chamber of Representatives	1978-12-17			
BEL	EP	1979-06-10			
BEL	Belgian Chamber of Representatives	1981-11-08			
BEL	EP	1984-06-17			
BEL	Belgian Chamber of Representatives	1985-10-13			
BEL	Belgian Chamber of Representatives	1987-12-13			
BEL	EP	1989-06-18			
BEL	Belgian Chamber of Representatives	1991-11-24			
BEL	EP	1994-06-12			
BEL	Belgian Chamber of Representatives	1995-05-21			
BEL	Belgian Chamber of Representatives	1999-06-13			
BEL	EP	1999-06-13			
BEL	Belgian Chamber of Representatives	2003-05-18			
BEL	EP	2004-06-13			
BEL	Belgian Chamber of Representatives	2007-06-10			
BEL	EP	2009-06-07			
BEL	Belgian Chamber of Representatives	2010-06-13			
BEL	Belgian Chamber of Representatives	2014-05-25			
BEL	EP	2014-05-25			
BEL	Belgian Chamber of Representatives	2019-05-26			
BEL	EP	2019-05-26			
BGR	Bulgarian National Assembly	2005-06-25			
BGR	President	2006-10-22			
BGR	President	2006-10-29			
BGR	EP	2007-05-20			
BGR	EP	2009-06-07			
BGR	Bulgarian National Assembly	2009-07-05			
BGR	President	2011-10-23			
BGR	President	2011-10-30			
BGR	Referendum	2013-01-27			
BGR	Bulgarian National Assembly	2013-05-12			
BGR	EP	2014-05-25			
BGR	Bulgarian National Assembly	2014-10-05			
BGR	President	2016-11-06		Referendum	
BGR	President	2016-11-13			
BGR	Bulgarian National Assembly	2017-03-26			
BGR	EP	2019-05-26			
HRV	President	2009-12-27			
HRV	President	2010-01-10			
HRV	Croatian Assembly	2011-12-04			
HRV	Referendum	2012-01-22			
HRV	EP	2013-04-14			
HRV	Referendum	2013-12-01			
HRV	EP	2014-05-25			
HRV	President	2014-12-28			
HRV	President	2015-01-11			
HRV	Croatian Assembly	2015-11-08			
HRV	Croatian Assembly	2016-09-11			
HRV	EP	2019-05-26			
HRV	President	2019-12-31			
CYP	Cypriot House of Representatives	2001-05-27			
CYP	President	2003-02-16			
CYP	Referendum	2004-04-24			
CYP	EP	2004-06-13			
CYP	Cypriot House of Representatives	2006-05-21			
CYP	President	2008-02-17			
CYP	President	2008-02-24			
CYP	EP	2009-06-06			
CYP	Cypriot House of Representatives	2011-05-22			
CYP	President	2013-02-17			
CYP	President	2013-02-24			
CYP	EP	2014-05-25			
CYP	Cypriot House of Representatives	2016-05-22			
CYP	President	2018-01-28			
CYP	President	2018-02-04			
CYP	EP	2019-05-26			
CZE	Czech Chamber of Deputies	2002-06-15	2002-06-14		
CZE	Referendum	2003-06-14	2003-06-13		
CZE	EP	2004-06-12	2004-06-11		
CZE	Czech Chamber of Deputies	2006-06-03	2006-06-02		
CZE	EP	2009-06-06	2009-06-05		
CZE	Czech Chamber of Deputies	2010-05-29	2010-05-28		
CZE	President	2013-01-11			
CZE	President	2013-01-25			
CZE	Czech Chamber of Deputies	2013-10-25			
CZE	EP	2014-05-24	2014-05-23		
CZE	Czech Chamber of Deputies	2017-10-20			
CZE	President	2018-01-12			
CZE	President	2018-01-26			
CZE	EP	2019-05-25	2019-05-24		
DNK	Danish Parliament	1975-01-09			
DNK	Danish Parliament	1977-02-15			
DNK	Referendum	1978-09-19			
DNK	EP	1979-06-07			
DNK	Danish Parliament	1979-10-23			
DNK	Danish Parliament	1981-12-08			
DNK	Danish Parliament	1984-01-10			
DNK	EP	1984-06-17			
DNK	Referendum	1986-02-27			
DNK	Danish Parliament	1987-09-08			
DNK	Danish Parliament	1988-05-10			
DNK	EP	1989-06-15			
DNK	Danish Parliament	1990-12-12			
DNK	Referendum	1992-06-02			
DNK	Referendum	1993-05-18			
DNK	EP	1994-06-09			
DNK	Danish Parliament	1994-09-21			
DNK	Danish Parliament	1998-03-11			
DNK	Referendum	1998-05-28			
DNK	EP	1999-06-10			
DNK	Referendum	2000-09-28			
DNK	Danish Parliament	2001-11-20			
DNK	EP	2004-06-13			
DNK	Danish Parliament	2005-02-08			
DNK	Danish Parliament	2007-11-13			
DNK	EP	2009-06-07			
DNK	Referendum	2009-06-07			
DNK	Danish Parliament	2011-09-15			
DNK	EP	2014-05-25			
DNK	Referendum	2014-05-25			
DNK	Danish Parliament	2015-06-18			
DNK	Referendum	2015-12-03			
DNK	EP	2019-05-26			
DNK	Danish Parliament	2019-06-30			
EST	Estonian Parliament	2003-03-02			
EST	Referendum	2003-09-14			
EST	EP	2004-06-13			
EST	Estonian Parliament	2007-03-04			
EST	EP	2009-06-07			
EST	Estonian Parliament	2011-03-06			
EST	EP	2014-05-25			
EST	Estonian Parliament	2015-03-01			
EST	Estonian Parliament	2019-03-03			
EST	EP	2019-05-26			
FIN	President	1994-01-16			
FIN	President	1994-02-06			
FIN	Referendum	1994-10-16			
FIN	Finnish Parliament	1995-03-19			
FIN	EP	1996-10-20			
FIN	Finnish Parliament	1999-03-21			
FIN	EP	1999-06-13			
FIN	President	2000-01-16			
FIN	President	2000-02-06			
FIN	Finnish Parliament	2003-03-16			
FIN	EP	2004-06-13			
FIN	President	2006-01-15			
FIN	President	2006-01-29			
FIN	Finnish Parliament	2007-03-18			
FIN	EP	2009-06-07			
FIN	Finnish Parliament	2011-04-17			
FIN	President	2012-01-22			
FIN	President	2012-02-05			
FIN	EP	2014-05-25			
FIN	Finnish Parliament	2015-04-19			
FIN	President	2018-01-28			
FIN	Finnish Parliament	2019-04-14			
FIN	EP	2019-05-26			
FRA	National Assembly of France	1978-03-12			
FRA	National Assembly of France	1978-03-19			
FRA	EP	1979-06-10			
FRA	President	1981-04-26			
FRA	President	1981-05-10			
FRA	National Assembly of France	1981-06-14			
FRA	National Assembly of France	1981-06-21			
FRA	EP	1984-06-17			
FRA	National Assembly of France	1986-03-16			
FRA	President	1988-04-24			
FRA	President	1988-05-08			
FRA	National Assembly of France	1988-06-05			
FRA	National Assembly of France	1988-06-12			
FRA	Referendum	1988-11-06			
FRA	EP	1989-06-18			
FRA	Referendum	1992-09-20			
FRA	National Assembly of France	1993-03-21			
FRA	National Assembly of France	1993-03-28			
FRA	EP	1994-06-12			
FRA	President	1995-04-23			
FRA	President	1995-05-07			
FRA	National Assembly of France	1997-05-25			
FRA	National Assembly of France	1997-06-01			
FRA	EP	1999-06-13			
FRA	Referendum	2000-09-24			
FRA	President	2002-04-21			
FRA	President	2002-05-05			
FRA	National Assembly of France	2002-06-09			
FRA	National Assembly of France	2002-06-16			
FRA	EP	2004-06-13			
FRA	Referendum	2005-05-29			
FRA	President	2007-04-22			
FRA	President	2007-05-06			
FRA	National Assembly of France	2007-06-10			
FRA	National Assembly of France	2007-06-17			
FRA	EP	2009-06-07			
FRA	President	2012-04-22			
FRA	President	2012-05-06			
FRA	National Assembly of France	2012-06-10			
FRA	National Assembly of France	2012-06-17			
FRA	EP	2014-05-25			
FRA	President	2017-04-23			
FRA	President	2017-05-07			
FRA	National Assembly of France	2017-06-11			
FRA	National Assembly of France	2017-06-18			
FRA	EP	2019-05-26			
DEU	German Federal Diet	1972-11-19			
DEU	German Federal Diet	1976-10-03			
DEU	EP	1979-06-10			
DEU	German Federal Diet	1980-10-05			
DEU	German Federal Diet	1983-03-06			
DEU	EP	1984-06-17			
DEU	German Federal Diet	1987-01-25			
DEU	EP	1989-06-18			
DEU	German Federal Diet	1990-12-02			
DEU	EP	1994-06-12			
DEU	German Federal Diet	1994-10-16			
DEU	German Federal Diet	1998-09-27			
DEU	EP	1999-06-13			
DEU	German Federal Diet	2002-09-22			
DEU	EP	2004-06-13			
DEU	German Federal Diet	2005-09-18			
DEU	EP	2009-06-07			
DEU	German Federal Diet	2009-09-27			
DEU	German Federal Diet	2013-09-22			
DEU	EP	2014-05-25			
DEU	German Federal Diet	2017-09-24			
DEU	EP	2019-05-26			
GRC	Greek Parliament	1974-11-17			
GRC	Greek Parliament	1977-11-20			
GRC	EP	1981-10-18			
GRC	Greek Parliament	1981-10-18			
GRC	EP	1984-06-17			
GRC	Greek Parliament	1985-06-02			
GRC	EP	1989-06-18			
GRC	Greek Parliament	1989-06-18			
GRC	Greek Parliament	1989-11-05			
GRC	Greek Parliament	1990-04-08			
GRC	Greek Parliament	1993-10-10			
GRC	EP	1994-06-12			
GRC	Greek Parliament	1996-09-22			
GRC	EP	1999-06-13			
GRC	Greek Parliament	2000-04-09			
GRC	Greek Parliament	2004-03-07			
GRC	EP	2004-06-13			
GRC	Greek Parliament	2007-09-16			
GRC	EP	2009-06-07			
GRC	Greek Parliament	2009-10-04			
GRC	Greek Parliament	2012-05-06			
GRC	Greek Parliament	2012-06-17			
GRC	EP	2014-05-25			
GRC	Greek Parliament	2015-01-25			
GRC	Referendum	2015-07-05			
GRC	Greek Parliament	2015-09-20			
