iso3c	ep_date	tt_last_ne	voting_days	voting_dates	includes_weekdays	multiple_days
AUT	1996-10-13	301	SUN	13 October	0	0
AUT	1999-06-13	420	SUN	13 June	0	0
AUT	2004-06-13	49	SUN	13 June	0	0
AUT	2009-06-07	252	SUN	7 June	0	0
AUT	2014-05-25	238	SUN	25 May	0	0
AUT	2019-05-26	588	SUN	26 May	0	0
BEL	1979-06-10	175	SUN	10 June	0	0
BEL	1984-06-17	952	SUN	17 June	0	0
BEL	1989-06-18	553	SUN	18 June	0	0
BEL	1994-06-12	931	SUN	12 June	0	0
BEL	1999-06-13	1484	SUN	13 June	0	0
BEL	2004-06-13	392	SUN	13 June	0	0
BEL	2009-06-07	728	SUN	7 June	0	0
BEL	2014-05-25	1442	SUN	25 May	0	0
BEL	2019-05-26	1827	SUN	26 May	0	0
BGR	2007-05-20	203	SUN	20 May	0	0
BGR	2009-06-07	749	SUN	7 June	0	0
BGR	2014-05-25	378	SUN	25 May	0	0
BGR	2019-05-26	791	SUN	26 May	0	0
CYP	2004-06-13	50	SUN	13 June	0	0
CYP	2009-06-06	468	SAT	6 June	1	0
CYP	2014-05-25	455	SUN	25 May	0	0
CYP	2019-05-26	476	SUN	26 May	0	0
CZE	2004-06-12	364	FRI, SAT	11-12 June	1	1
CZE	2009-06-06	1099	FRI	5-6 June	1	1
CZE	2014-05-24	211	SAT, SUN	24-25 May	1	1
CZE	2019-05-25	484	FRI, SAT	24-25 May	1	1
DEU	1979-06-10	980	SUN	10 June	0	0
DEU	1984-06-17	469	SUN	17 June	0	0
DEU	1989-06-18	875	SUN	18 June	0	0
DEU	1994-06-12	1288	SUN	12 June	0	0
DEU	1999-06-13	259	SUN	13 June	0	0
DEU	2004-06-13	630	SUN	13 June	0	0
DEU	2009-06-07	1358	SUN	7 June	0	0
DEU	2014-05-25	245	SUN	25 May	0	0
DEU	2019-05-26	609	SUN	26 May	0	0
DNK	1979-06-07	261	THU	7 June	1	0
DNK	1984-06-17	159	SUN	17 June	0	0
DNK	1989-06-15	401	THU	15 June	1	0
DNK	1994-06-09	387	THU	9 June	1	0
DNK	1999-06-10	378	THU	10 June	1	0
DNK	2004-06-13	936	SUN	13 June	0	0
DNK	2009-06-07	572	SUN	7 June	0	0
DNK	2014-05-25	983	SUN	25 May	0	0
DNK	2019-05-26	1270	SUN	26 May	0	0
EST	2004-06-13	273	SUN	13 June	0	0
EST	2009-06-07	826	SUN	7 June	0	0
EST	2014-05-25	1176	SUN	25 May	0	0
EST	2019-05-26	84	SUN	26 May	0	0
ESP	1987-06-10	353	WED	10 June	1	0
ESP	1989-06-15	739	THU	15 June	1	0
ESP	1994-06-12	371	SUN	12 June	0	0
ESP	1999-06-13	1197	SUN	13 June	0	0
ESP	2004-06-13	91	SUN	13 June	0	0
ESP	2009-06-07	455	SUN	7 June	0	0
ESP	2014-05-25	917	SUN	25 May	0	0
ESP	2019-05-26	28	SUN	26 May	0	0
FIN	1996-10-20	581	SUN	20 October	0	0
FIN	1999-06-13	84	SUN	13 June	0	0
FIN	2004-06-13	455	SUN	13 June	0	0
FIN	2009-06-07	812	SUN	7 June	0	0
FIN	2014-05-25	840	SUN	25 May	0	0
FIN	2019-05-26	42	SUN	26 May	0	0
FRA	1979-06-10	448	(THU, FRI, SAT) SUN	10 June	0	0
FRA	1984-06-17	1092	(THU, FRI, SAT) SUN	17 June	0	0
FRA	1989-06-18	224	SUN	15 June	0	0
FRA	1994-06-12	441	SUN	12 June	0	0
FRA	1999-06-13	742	SUN	13 June	0	0
FRA	2004-06-13	728	SUN	13 June	0	0
FRA	2009-06-07	721	SUN	7 June	0	0
FRA	2014-05-25	707	SUN	24-25 May	0	0
FRA	2019-05-26	707	SUN	26 May	0	0
GRC	1981-10-18	1428	SUN	18 October	0	0
GRC	1984-06-17	973	SUN	17 June	0	0
GRC	1989-06-18	1477	SUN	18 June	0	0
GRC	1994-06-12	245	SUN	12 June	0	0
GRC	1999-06-13	994	SUN	13 June	0	0
GRC	2004-06-13	98	SUN	13 June	0	0
GRC	2009-06-07	630	SUN	7 June	0	0
GRC	2014-05-25	707	SUN	25 May	0	0
GRC	2019-05-26	1344	SUN	26 May	0	0
HRV	2013-04-14	448	SUN	14 April	0	0
HRV	2014-05-25	175	SUN	25 May	0	0
HRV	2019-05-26	987	SUN	26 May	0	0
HUN	2004-06-13	428	SUN	13 June	0	0
HUN	2009-06-07	1141	SUN	7 June	0	0
HUN	2014-05-25	49	SUN	25 May	0	0
HUN	2019-05-26	413	SUN	26 May	0	0
IRL	1979-06-07	721	THU	7 June	1	0
IRL	1984-06-14	281	THU	14 June	1	0
IRL	1989-06-15	751	THU	15 June	1	0
IRL	1994-06-10	562	FRI	10 June	1	0
IRL	1999-06-11	385	FRI	11 June	1	0
IRL	2004-06-11	601	FRI	11 June	1	0
IRL	2009-06-05	358	FRI	5 June	1	0
IRL	2014-05-23	231	FRI	23 May	1	0
IRL	2019-05-24	210	FRI	24 May	1	0
ITA	1979-06-10	6	SUN	10 June	0	0
