iso3c	year	gdpc
AUT	2019	NA
AUT	2018	51461.9547804677
AUT	2017	47431.630607607
AUT	2016	45237.8050921543
AUT	2015	44178.0473777432
AUT	2014	51717.4959405515
AUT	2013	50716.7087062864
AUT	2012	48567.69528642
AUT	2011	51374.9584066934
AUT	2010	46858.0432733717
AUT	2009	47963.1794023217
AUT	2008	51708.7657541758
AUT	2007	46855.7717452095
AUT	2006	40635.2818159724
AUT	2005	38403.1338770715
AUT	2004	36821.5214680093
AUT	2003	32222.8972411655
AUT	2002	26401.7454564357
AUT	2001	24537.5142629883
AUT	2000	24564.4582948404
AUT	1999	27174.2971559775
AUT	1998	27361.8751106437
AUT	1997	26705.4785993891
AUT	1996	29809.0767730821
AUT	1995	30325.8495818396
AUT	1994	25646.7006591684
AUT	1993	24081.5278077646
AUT	1992	24880.164070125
AUT	1991	22410.9117362704
AUT	1990	21680.9896863626
AUT	1989	17468.9461918554
AUT	1988	17578.6189397397
AUT	1987	16392.7695665813
AUT	1986	13083.0726978243
AUT	1985	9172.09676880976
AUT	1984	8991.06507601017
AUT	1983	9537.40743056414
AUT	1982	9410.34722457985
AUT	1981	9385.24901832146
AUT	1980	10869.5464236099
AUT	1979	9793.76530724628
AUT	1978	8205.46892702823
AUT	1977	6810.6277286986
AUT	1976	5678.38663782273
BEL	2019	NA
BEL	2018	47518.6360388914
BEL	2017	44219.5619960117
BEL	2016	42012.0999001128
BEL	2015	40991.8081381432
BEL	2014	47700.5403601178
BEL	2013	46744.6625441516
BEL	2012	44673.1158755901
BEL	2011	47348.5250202016
BEL	2010	44141.8781415734
BEL	2009	44583.5448070814
BEL	2008	48106.892915788
BEL	2007	44262.8960009954
BEL	2006	38672.7059429767
BEL	2005	36795.9768819639
BEL	2004	35364.3753314368
BEL	2003	30587.6684093796
BEL	2002	24887.5613341833
BEL	2001	22995.1575247288
BEL	2000	23041.5347290428
BEL	1999	25244.2750474813
BEL	1998	25338.4432934904
BEL	1997	24820.9380503896
BEL	1996	27489.5551770488
BEL	1995	28413.8264387368
BEL	1994	24208.5548408211
BEL	1993	22283.9360097924
BEL	1992	23372.6191335431
BEL	1991	21041.6606401567
BEL	1990	20600.3752547608
BEL	1989	16525.0617844916
BEL	1988	16391.0938167111
BEL	1987	15135.8522679087
BEL	1986	12170.0406871135
BEL	1985	8750.8185469633
BEL	1984	8457.26877482878
BEL	1983	8846.23425844371
BEL	1982	9343.86114438601
BEL	1981	10622.8024610384
BEL	1980	12864.0025381557
BEL	1979	11810.6158754725
BEL	1978	10289.7683522401
BEL	1977	8426.94694802457
BEL	1976	7243.04736248138
BGR	2019	NA
BGR	2018	9272.62930360848
BGR	2017	8228.0115697265
BGR	2016	7469.45563823624
BGR	2015	6993.78348267387
BGR	2014	7864.76067225524
BGR	2013	7646.83986554542
BGR	2012	7378.02473005713
BGR	2011	7813.80669236432
BGR	2010	6843.26694975885
BGR	2009	6969.55855668357
BGR	2008	7261.75449200277
BGR	2007	5885.94925197955
BGR	2006	4490.20177692701
BGR	2005	3869.52945510511
BGR	2004	3363.79964421813
BGR	2003	2698.62424839705
BGR	2002	2076.83068237844
BGR	2001	1757.44377980694
BGR	2000	1609.88245178581
BGR	1999	1648.10485895626
BGR	1998	1809.68384472884
BGR	1997	1348.82756797792
BGR	1996	1457.03561893337
BGR	1995	2244.51690949043
BGR	1994	1148.4943993817
BGR	1993	1278.24717346108
BGR	1992	1211.98087810931
BGR	1991	1267.73437541485
BGR	1990	2366.52982128614
BGR	1989	2477.0208179596
BGR	1988	2511.39306259489
BGR	1987	3132.30136036246
BGR	1986	2260.4272811545
BGR	1985	1914.55064658793
BGR	1984	1963.57267618274
BGR	1983	1852.81343442802
BGR	1982	2169.00401089683
BGR	1981	2234.81481573125
BGR	1980	2238.80295786574
BGR	1979	NA
BGR	1978	NA
BGR	1977	NA
BGR	1976	NA
CYP	2019	NA
CYP	2018	28159.3016999455
CYP	2017	25760.7627043417
CYP	2016	24019.1378679236
CYP	2015	23217.4841507892
CYP	2014	27407.152861781098
CYP	2013	27942.3012696028
CYP	2012	28984.9445491789
CYP	2011	32233.6433858793
CYP	2010	30818.4799259532
CYP	2009	32105.867479829
CYP	2008	35391.0400578939
CYP	2007	31244.9280082161
CYP	2006	26729.3267457419
CYP	2005	24959.2659053822
CYP	2004	23792.617929064
CYP	2003	20252.2421378578
CYP	2002	16093.218676255
CYP	2001	14821.4455185468
CYP	2000	14388.3467029574
CYP	1999	15287.9175563814
CYP	1998	15092.8295863747
CYP	1997	14234.2494839714
CYP	1996	15139.2280305854
