iso3c	year	pop
AUT	2019	NA
AUT	2018	8847037
AUT	2017	8797566
AUT	2016	8736668
AUT	2015	8642699
AUT	2014	8546356
AUT	2013	8479823
AUT	2012	8429991
AUT	2011	8391643
AUT	2010	8363404
AUT	2009	8343323
AUT	2008	8321496
AUT	2007	8295487
AUT	2006	8268641
AUT	2005	8227829
AUT	2004	8171966
AUT	2003	8121423
AUT	2002	8081957
AUT	2001	8042293
AUT	2000	8011566
AUT	1999	7992324
AUT	1998	7976789
AUT	1997	7968041
AUT	1996	7959017
AUT	1995	7948278
AUT	1994	7936118
AUT	1993	7905633
AUT	1992	7840709
AUT	1991	7754891
AUT	1990	7677850
AUT	1989	7619567
AUT	1988	7585317
AUT	1987	7574586
AUT	1986	7569794
AUT	1985	7564985
AUT	1984	7561434
AUT	1983	7561910
AUT	1982	7574140
AUT	1981	7568710
AUT	1980	7549433
AUT	1979	7549425
AUT	1978	7562305
AUT	1977	7568430
AUT	1976	7565525
BEL	2019	NA
BEL	2018	11422068
BEL	2017	11375158
BEL	2016	11331422
BEL	2015	11274196
BEL	2014	11209057
BEL	2013	11159407
BEL	2012	11106932
BEL	2011	11038264
BEL	2010	10895586
BEL	2009	10796493
BEL	2008	10709973
BEL	2007	10625700
BEL	2006	10547958
BEL	2005	10478617
BEL	2004	10421137
BEL	2003	10376133
BEL	2002	10332785
BEL	2001	10286570
BEL	2000	10251250
BEL	1999	10226419
BEL	1998	10203008
BEL	1997	10181245
BEL	1996	10156637
BEL	1995	10136811
BEL	1994	10115603
BEL	1993	10084475
BEL	1992	10045158
BEL	1991	10004486
BEL	1990	9967379
BEL	1989	9937697
BEL	1988	9901664
BEL	1987	9870234
BEL	1986	9861823
BEL	1985	9858308
BEL	1984	9855372
BEL	1983	9855520
BEL	1982	9856303
BEL	1981	9858982
BEL	1980	9859242
BEL	1979	9848382
BEL	1978	9839534
BEL	1977	9830358
BEL	1976	9818227
BGR	2019	NA
BGR	2018	7024216
BGR	2017	7075947
BGR	2016	7127822
BGR	2015	7177991
BGR	2014	7223938
BGR	2013	7265115
BGR	2012	7305888
BGR	2011	7348328
BGR	2010	7395599
BGR	2009	7444443
BGR	2008	7492561
BGR	2007	7545338
BGR	2006	7601022
BGR	2005	7658972
BGR	2004	7716860
BGR	2003	7775327
BGR	2002	7837161
BGR	2001	8009142
BGR	2000	8170172
BGR	1999	8210624
BGR	1998	8256786
BGR	1997	8312068
BGR	1996	8362826
BGR	1995	8406067
BGR	1994	8443591
BGR	1993	8472313
BGR	1992	8540164
BGR	1991	8632367
BGR	1990	8718289
BGR	1989	8876972
BGR	1988	8981446
BGR	1987	8971359
BGR	1986	8958171
BGR	1985	8960547
BGR	1984	8960679
BGR	1983	8939738
BGR	1982	8917457
BGR	1981	8891117
BGR	1980	8861535
BGR	1979	8825940
BGR	1978	8814032
BGR	1977	8804183
BGR	1976	8758599
CYP	2019	NA
CYP	2018	1189265
CYP	2017	1179680
CYP	2016	1170187
CYP	2015	1160985
CYP	2014	1152285
CYP	2013	1143866
CYP	2012	1135046
CYP	2011	1124833
CYP	2010	1112612
CYP	2009	1098083
CYP	2008	1081563
CYP	2007	1063713
CYP	2006	1045507
CYP	2005	1027662
CYP	2004	1010408
CYP	2003	993563
CYP	2002	976964
CYP	2001	960276
CYP	2000	943290
CYP	1999	926046
CYP	1998	908702
CYP	1997	891190
CYP	1996	873423
CYP	1995	855383
CYP	1994	837110
CYP	1993	818746
CYP	1992	800611
CYP	1991	783124
CYP	1990	766615
CYP	1989	751047
CYP	1988	736474
CYP	1987	723376
CYP	1986	712340
CYP	1985	703685
CYP	1984	697714
CYP	1983	694077
CYP	1982	691702
CYP	1981	689173
CYP	1980	685405
CYP	1979	680005
CYP	1978	673247
CYP	1977	665525
CYP	1976	657527
CZE	2019	NA
CZE	2018	10625695
CZE	2017	10594438
CZE	2016	10566332
CZE	2015	10546059
CZE	2014	10525347
CZE	2013	10514272
CZE	2012	10510785
CZE	2011	10496088
CZE	2010	10474410
CZE	2009	10443936
CZE	2008	10384603
CZE	2007	10298828
CZE	2006	10238905
CZE	2005	10211216
CZE	2004	10197101
CZE	2003	10193998
CZE	2002	10196916
CZE	2001	10216605
CZE	2000	10255063
CZE	1999	10283860
CZE	1998	10294373
CZE	1997	10304131
CZE	1996	10315241
CZE	1995	10327253
CZE	1994	10333587
CZE	1993	10329855
CZE	1992	10319123
CZE	1991	10308578
CZE	1990	10333355
CZE	1989	10361068
CZE	1988	10355276
CZE	1987	10347318
CZE	1986	10342227
